#,Author,Total Poems,Live,Verse Daily,Poetry Daily,RALP,Slowdown
1,Sean Cho A.,5,,4,,,1
2,William Aarnes,2,,2,,,
3,Diya Abbas,1,,,1,,
4,Chris Abbate,2,,2,,,
5,Garous Abdolmalekian,5,,,1,2,2
6,Ra'ad Abdulqadir,1,,,1,,
7,Hanif Abdurraqib,6,,,,4,2
8,Aria Aber,1,,,,,1
9,Kweku Abimbola,1,,,,,1
10,leena aboutaleb,1,,,1,,
11,George Abraham,4,,,1,3,
12,Rachel Abramowitz,4,,3,1,,
13,Seth Abramson,1,,1,,,
14,Jessica Abughattas,1,,,,,1
15,Chad Abushanab,2,,2,,,
16,Elizabeth Acevedo,1,,1,,,
17,Bhion Achimba,1,,,1,,
18,Diane Ackerman,2,,,,2,
19,Stephen Ackerman,1,,1,,,
20,Paige Ackerson-Kiely,3,,3,,,
21,Nicole Adabunu,1,,1,,,
22,Erin Adair-Hodges,1,,,1,,
23,Leslie Adams,1,,1,,,
24,Carl Adamshick,1,,1,,,
25,Stephanie Adams-Santos,1,,1,,,
26,Betty Adcock,1,,1,,,
27,Fleur Adcock,1,,,,1,
28,James Tadd Adcox,1,,,1,,
29,Kim Addonizio,13,,6,1,3,3
30,Gbenga Adesina,2,,,2,,
31,Alara Adilow,1,,,1,,
32,Hiwot Adilow,1,,1,,,
33,Tory Adkisson,2,,1,1,,
34,Nick Admussen,1,,1,,,
35,Etel Adnan,3,,,1,1,1
36,Adonis,1,,,,,1
37,Jorgenrique Adoum,1,,,1,,
38,Adedayo Agarau,1,,,1,,
39,O-Jeremiah Agbaakin,1,,,1,,
40,Tolu Agbelusi,1,,,1,,
41,Vidhu Aggarwal,1,,,,,1
42,Temperance Aghamohammadi,3,,,2,,1
43,Kelli Russell Agodon,12,,9,,1,2
44,Saida Agostini,2,,1,,1,
45,Sebastian Agudelo,2,,2,,,
46,Anthony Aguero,1,,,,,1
47,Alfredo Aguilar,1,,,,,1
48,Dominique Ahkong,1,,,,1,
49,Liz Ahl,2,,1,,,1
50,Dilruba Ahmed,1,,,,,1
51,Hussain Ahmed,4,,1,3,,
52,Kanika Ahuja,1,,,1,,
53,Ai,3,,,1,2,
54,Susan Aizenberg,1,,,,,1
55,Andrés Ajens,1,,,1,,
56,Sara Deniz Akant,1,,1,,,
57,Kaveh Akbar,7,,,,3,4
58,Ellery Akers,3,,2,,1,
59,Anna Akhmatova,4,,,,3,1
60,Yagmur Akyurek,1,,,1,,
61,Kemi Alabi,5,,2,1,,2
62,Toma alamun,1,,1,,,
63,Francisco X. Alarcón,2,,,,1,1
64,Cassandra de Alba,1,,1,,,
65,Dan Albergotti,19,,17,1,,1
66,Rafael Alberti,1,,,1,,
67,Sally Albiso,2,,2,,,
68,Malaika King Albrecht,1,,1,,,
69,Rosa Alcalá,1,,,,,1
70,José A. Alcantara,2,,,,,2
71,Alcman,1,,,1,,
72,Sandra Alcosser,1,,,,,1
73,Christian Aldana,2,,,,,2
74,Julia Carter Aldrich,1,,1,,,
75,Penelope Alegria,1,,,,1,
76,Jeff Alessandrelli,3,,3,,,
77,Carol Alexander,1,,1,,,
78,Elizabeth Alexander,4,,,,2,2
79,Pamela Alexander,1,,1,,,
80,Will Alexander,3,,,3,,
81,janan alexandra,1,,1,,,
82,Shay Alexi,1,,1,,,
83,Sherman Alexie,2,,2,,,
84,Maya Abu Al-Hayyat,5,,,1,3,1
85,Riad al-Saleh al-Hussein,1,,,1,,
86,Abdul Ali,1,,1,,,
87,Agha Shahid Ali,6,,,,5,1
88,Kazim Ali,4,,1,1,1,1
89,Sarah Ghazal Ali,4,,,3,,1
90,Taha Muhammad Ali,2,,,,,2
91,Kimberly Alidio,1,,,1,,
92,Dante Alighieri,2,,1,1,,
93,Austin Allen,1,,1,,,
94,Basie Allen,1,,,1,,
