id,author,title,body
poem_0479,William Shakespeare,"The Sonnets LXV - Since brass, nor stone, nor earth, nor boundless sea","Since brass, nor stone, nor earth, nor boundless sea,
But sad mortality o'ersways their power,
How with this rage shall beauty hold a plea,
Whose action is no stronger than a flower?
O! how shall summer's honey breath hold out,
Against the wrackful siege of battering days,
When rocks impregnable are not so stout,
Nor gates of steel so strong but Time decays?
O fearful meditation! where, alack,
Shall Time's best jewel from Time's chest lie hid?
Or what strong hand can hold his swift foot back?
Or who his spoil of beauty can forbid?
O! none, unless this miracle have might,
That in black ink my love may still shine bright."
poem_0481,William Shakespeare,The Sonnets CXXIX - The expense of spirit in a waste of shame,"The expense of spirit in a waste of shame
Is lust in action: and till action, lust
Is perjur'd, murderous, bloody, full of blame,
Savage, extreme, rude, cruel, not to trust;
Enjoy'd no sooner but despised straight;
Past reason hunted; and no sooner had,
Past reason hated, as a swallow'd bait,
On purpose laid to make the taker mad:
Mad in pursuit and in possession so;
Had, having, and in quest, to have extreme;
A bliss in proof, and prov'd, a very woe;
Before, a joy propos'd; behind a dream.
All this the world well knows; yet none knows well
To shun the heaven that leads men to this hell."
poem_0373,Sara Teasdale,Night Song At Amalfi,"I asked the heaven of stars
What I should give my love,
It answered me with silence,
Silence above.
I asked the darkened sea
Down where the fishers go,
It answered me with silence,
Silence below.
Oh, I could give him weeping,
Or I could give him song,
But how can I give silence,
My whole life long?
"
poem_0500,Alfred Lord Tennyson,Ulysses,"It little profits that an idle king,
By this still hearth, among these barren crags,
Match'd with an aged wife, I mete and dole
Unequal laws unto a savage race,
That hoard, and sleep, and feed, and know not me.
I cannot rest from travel; I will drink
Life to the lees. All times I have enjoy'd
Greatly, have suffer'd greatly, both with those
That loved me, and alone; on shore, and when
Thro' scudding drifts the rainy Hyades
Vext the dim sea. I am become a name;
For always roaming with a hungry heart
Much have I seen and known,-- cities of men
And manners, climates, councils, governments,
Myself not least, but honor'd of them all,--
And drunk delight of battle with my peers,
Far on the ringing plains of windy Troy.
I am a part of all that I have met;
Yet all experience is an arch wherethro'
Gleams that untravell'd world whose margin fades
For ever and for ever when I move.
How dull it is to pause, to make an end,
To rust unburnish'd, not to shine in use!
As tho' to breathe were life! Life piled on life
Were all too little, and of one to me
Little remains; but every hour is saved "
poem_0021,James Joyce,Nightpiece,"Gaunt in gloom,
The pale stars their torches,
Enshrouded, wave.
Ghostfires from heaven's far verges faint illume,
Arches on soaring arches,
Night's sindark nave.
Seraphim,
The lost hosts awaken
To service till
In moonless gloom each lapses muted, dim,
Raised when she has and shaken
Her thurible.
And long and loud,
To night's nave upsoaring,
A starknell tolls
As the bleak incense surges, cloud on cloud,
Voidward from the adoring
Waste of souls."
poem_0154,Walt Whitman,To You,"Stranger! if you, passing, meet me, and desire to speak to me, why should you not speak to me? 
And why should I not speak to you?"
poem_0025,James Joyce,"O Sweetheart, Hear You","O Sweetheart, hear you
Your lover's tale;
A man shall have sorrow
When friends him fail.
For he shall know then
Friends be untrue
And a little ashes
Their words come to.
But one unto him
Will softly move
And softly woo him
In ways of love.
His hand is under
Her smooth round breast;
So he who has sorrow
Shall have rest."
poem_0026,James Joyce,She Weeps Over Rahoon,"Rain on Rahoon falls softly, softly falling,
Where my dark lover lies.
Sad is his voice that calls me, sadly calling,
At grey moonrise.
Love, hear thou
How soft, how sad his voice is ever calling,
Ever unanswered, and the dark rain falling,
Then as now.
Dark too our hearts, O love, shall lie and cold
As his sad heart has lain
Under the moongrey nettles, the black mould
And muttering rain."
poem_0028,James Joyce,On The Beach At Fontana,"Wind whines and whines the shingle,
The crazy pierstakes groan;
A senile sea numbers each single
Slimesilvered stone.
From whining wind and colder
Grey sea I wrap him warm
And touch his trembling fineboned shoulder
And boyish arm.
Around us fear, descending
Darkness of fear above
And in my heart how deep unending
Ache of love!"
poem_0024,James Joyce,Flood,"Goldbrown upon the sated flood
The rockvine clusters lift and sway;
Vast wings above the lambent waters brood
Of sullen day.
A waste of waters ruthlessly
Sways and uplifts its weedy mane
Where brooding day stares down upon the sea
In dull disdain.
Uplift and sway, O golden vine,
Your clustered fruits to love's full flood,
Lambent and vast and ruthless as is thine
Incertitude!"
poem_0032,James Joyce,Alone,"The noon's greygolden meshes make
All night a veil,
The shorelamps in the sleeping lake
Laburnum tendrils trail.
The sly reeds whisper to the night
A name, her name,
And all my soul is a delight,
A swoon of shame."
poem_0033,James Joyce,Tutto ' Sciolto,"A birdless heaven, seadusk, one lone star
Piercing the west,
As thou, fond heart, love's time, so faint, so far,
Rememberest.
The clear young eyes' soft look, the candid brow,
The fragrant hair,
Falling as through the silence falleth now
Dusk of the air.
Why then, remembering those shy
Sweet lures, repine
When the dear love she yielded with a sigh
Was all but thine?"
poem_0036,John Milton,To a Virtuous Young Lady,"Lady! that in the prime of earliest youth
Wisely hast shunned the broad way and the green,
And with those few art eminently seen,
That labour up the Hill of Heavenly Truth,
The better part with Mary and with Ruth
Chosen thou hast, and they that overween,
And at thy growing virtues fret their spleen,
No anger find in thee, but pity and ruth.
Thy care is fixed, and zealously attends
To fill thy odorous Lamp with deeds of light.
And Hope that reaps not shame; therefore be sure,
Thou, when the Bridegroom with his feastful friends
Passes to bliss at the mid hour of night,
Hast gained thy entrance, Virgin wise and pure."
poem_0037,John Milton,Methought I Saw My Late Espoused Saint,"Methought I saw my late espoused Saint
Brought to me like Alcestus from the grave,
Who Jove's great Son to her glad Husband gave,
Rescu'd from death by force though pale and faint.
Mine as whom washt from spot of child-bed taint
Purification in the old Law did save,
And such as yet once more I trust to have
Full sight of her in Heav'n without restraint,
Came vested all in white, pure as her mind:
Her face was veil'd, yet to my fancied sight
Love, sweetness, goodness in her person shin'd
So clear, as in no face with more delight.
But O as to embrace me she enclin'd
I wak'd, she fled, and day brought back my night."
poem_0084,Paul Laurence Dunbar,The Poet,"He sang of life, serenely sweet,
With, now and then, a deeper note.
From some high peak, nigh yet remote,
He voiced the world's absorbing beat.
He sang of love when earth was young,
And Love, itself, was in his lays.
But ah, the world, it turned to praise
A jingle in a broken tongue."
poem_0040,John Milton,Sonnets. XVIII,"Cyriack, whose Grandsire on the Royal Bench
Of Brittish Themis, with no mean applause
Pronounc't and in his volumes taught our Lawes,
Which others at their Barr so often wrench:
To day deep thoughts resolve with me to drench
In mirth, that after no repenting drawes;
Let Euclid rest and Archimedes pause,
And what the Swede intend, and what the French.
To measure life, learn thou betimes, and know
Toward solid good what leads the nearest way;
For other things mild Heav'n a time ordains,
And disapproves that care, though wise in show,
That with superfluous burden loads the day,
And when God sends a cheerful hour, refrains."
poem_0041,John Milton,Sonnets. XIX,"Methought I saw my late espoused Saint
Brought to me like Alcestis from the grave,
Whom Joves great Son to her glad Husband gave,
Rescu'd from death by force though pale and faint.
Mine as whom washt from spot of child-bed taint,
Purification in the old Law did save,
And such, as yet once more I trust to have
Full sight of her in Heaven without restraint,
Came vested all in white, pure as her mind:
Her face was vail'd, yet to my fancied sight,
Love, sweetness, goodness, in her person shin'd
So clear, as in no face with more delight.
But O as to embrace me she enclin'd
I wak'd, she fled, and day brought back my night."
poem_0042,John Milton,Sonnets. VIII,"Captain or Colonel, or Knight in Arms,
Whose chance on these defenceless dores may sease,
If ever deed of honour did thee please,
Guard them, and him within protect from harms,
He can requite thee, for he knows the charms
That call Fame on such gentle acts as these,
And he can spred thy Name o're Lands and Seas,
What ever clime the Suns bright circle warms.
Lift not thy spear against the Muses Bowre,
The great Emathian Conqueror bid spare
The house of Pindarus, when Temple and Towre
Went to the ground: And the repeated air
Of sad Electra's Poet had the power
To save th' Athenian Walls from ruine bare."
poem_0044,John Milton,Sonnets. XI,"A Book was writ of late call'd Tetrachordon;
And wov'n close, both matter, form and stile;
The Subject new: it walk'd the Town a while,
Numbring good intellects; now seldom por'd on.
Cries the stall-reader, bless us! what a word on
A title page is this! and some in file
Stand spelling fals, while one might walk to Mile-
End Green. Why is it harder Sirs then Gordon,
Colkitto, or Macdonnel, or Galasp?
Those rugged names to our like mouths grow sleek
That would have made Quintilian stare and gasp.
Thy age, like ours, O Soul of Sir John Cheek,
Hated not Learning wors then Toad or Asp;
When thou taught'st Cambridge, and King Edward Greek."
